player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ezekiel Elliott,10638,HB,NE,17,184,24,1,2.6,17,0,642,3,10,24,466,36.6,8,32,19,2,104,55.2,67.6,88,,37.1,66.3,69.2,55.7,17,0,313,51,247,214,0,0,61,235,3,642,466,2.53,3.5,1.27,69
Zack Moss,40341,HB,IND,14,183,35,7,25.5,202,0,793,5,6,35,514,54.8,19,43,14,0,47,90.6,66.9,90.1,,60.4,43.9,72.8,57.4,56,0,192,27,233,210,0,0,35,210,5,793,514,2.81,4.3,0.82,135
Jahmyr Gibbs,122474,HB,DET,15,182,40,15,38.6,365,0,945,5,13,40,568,70.7,27,42,11,2,90,68.5,74.5,88.9,,23.6,62.8,81.3,56.9,36,0,316,52,325,216,0,0,69,234,10,945,568,3.12,5.2,0.97,84
Alvin Kamara,11822,HB,NO,13,180,22,6,13.7,95,0,694,3,13,22,452,34.5,15,43,20,0,58,90.8,74.1,88,,19.2,78.4,77.1,55.7,17,0,466,75,269,211,0,0,86,255,5,694,452,2.51,3.9,1.73,118
Alexander Mattison,45817,HB,MIN,16,180,37,7,16.9,118,0,700,6,3,37,496,52.5,17,28,18,3,61,52.5,61.8,88.3,,49.5,41.2,70.2,43.6,21,0,192,30,278,204,0,0,42,210,0,700,496,2.76,3.9,0.69,117
Austin Ekeler,12164,HB,LAC,14,179,31,4,20.4,129,0,632,4,12,31,473,49.4,7,34,27,5,68,29.6,60.2,90.6,,29.3,57.4,65.1,36.6,55,0,436,51,349,210,0,0,69,230,5,632,473,2.64,3.5,1.25,109
Brian Robinson,57120,HB,WAS,15,178,37,8,23.3,171,0,733,3,10,37,521,64.3,19,46,32,4,57,38,75.3,89.8,,61.9,71.4,73.7,65.5,29,0,367,36,219,198,0,0,40,214,5,733,521,2.93,4.1,1.68,117
AJ Dillon,57165,HB,GB,15,178,21,3,11.7,72,0,613,1,11,21,479,43.1,8,32,12,0,80,90.5,75.7,88.2,,56,68.2,76.1,56.6,40,0,223,22,216,205,0,0,27,200,2,613,479,2.69,3.4,1.03,96
Jonathan Taylor,57488,HB,IND,10,169,29,6,22.8,169,0,741,1,7,29,527,59.7,23,42,14,1,64,77.3,74.9,87.8,,57.1,63.8,75,71.9,49,0,153,19,178,174,0,0,24,188,7,741,527,3.12,4.4,0.86,103
Jalen Hurts,40291,QB,PHI,17,157,18,1,2.7,16,0,285,0,0,6,101,4.9,18,68,24,9,19,64.3,86.4,58.4,83.6,,60,76.5,60,24,6,0,0,1,453,317,46,0,111,15,602,325,2.07,3.8,0,17
Rhamondre Stevenson,98689,HB,NE,12,156,30,3,15.2,94,0,619,4,8,30,437,54.9,10,36,19,1,81,77.3,71.3,87.4,,72.7,51.2,78.7,29.3,64,0,238,38,251,176,0,0,48,194,4,619,437,2.8,4,0.95,66
Jaylen Warren,98692,HB,PIT,17,149,53,12,36.2,284,1,784,5,23,53,542,131.6,24,36,25,4,53,35.2,78.6,90.4,,27.2,72,84.1,77.9,74,1,370,61,256,183,0,0,72,210,4,784,542,3.64,5.3,1.45,77
Lamar Jackson,46416,QB,BLT,16,148,38,4,9.5,78,2,400,0,0,16,139,30.8,29,48,3,11,44,43.6,90.4,79,85.1,,,86.8,60.2,30,10,0,0,0,440,421,63,0,85,5,821,463,3.13,5.5,,17
Dameon Pierce,83659,HB,HST,13,145,26,3,12.7,53,0,416,1,1,26,329,38.8,9,14,13,0,54,90.3,66.6,83.1,,87.8,63.3,64.7,55.1,22,0,101,13,111,158,0,0,17,158,2,416,329,2.27,2.9,0.91,88
Aaron Jones,11937,HB,GB,11,142,26,5,18.4,121,0,657,6,6,26,451,59.1,15,34,12,2,52,58.9,76,87.5,,61,53.6,81.5,58.7,39,0,233,30,167,163,0,0,40,172,2,657,451,3.18,4.6,1.4,89
Kareem Hunt,11841,HB,CLV,15,135,7,2,7.8,32,0,411,1,0,7,293,10.1,5,38,8,0,86,90,68.7,87.4,,53.6,64.6,68.4,65.3,16,0,84,15,137,155,0,0,21,150,9,411,293,2.17,3,0.61,41
Khalil Herbert,41668,HB,CHI,12,132,33,7,30,183,0,611,0,6,33,400,77.8,13,25,6,1,45,72.8,77.9,86.5,,53.3,67.5,79.4,45.8,38,0,134,20,146,173,0,0,26,152,2,611,400,3.03,4.6,0.92,87
Miles Sanders,40555,HB,CAR,16,129,17,4,21.5,93,0,432,2,8,17,342,42.5,11,24,5,2,54,56.4,60.8,88.2,,23.3,68,60.4,63.9,48,0,154,27,211,141,0,0,38,156,1,432,342,2.65,3.3,0.73,74
Justin Fields,82118,QB,CHI,13,125,26,2,6,39,0,293,0,0,9,132,17.7,26,42,6,10,29,33.8,74.6,49,67.2,,,84.9,60.4,39,5,0,0,0,346,360,43,0,82,4,653,392,3.14,5.2,,26
Josh Allen,46601,QB,BUF,17,111,24,0,0,0,0,139,0,0,4,84,9,17,57,4,7,20,61.2,91.2,69.7,86.4,,,90.9,60,23,8,0,0,0,430,381,50,0,61,15,520,304,2.74,4.7,,2
D'Onta Foreman,11844,HB,CHI,9,109,21,1,5.2,22,0,425,1,4,21,300,57.3,12,24,6,1,43,67.8,74,83.9,,29.5,58.3,77.4,57.2,22,1,77,11,96,139,0,0,15,120,4,425,300,2.75,3.9,0.8,65
Zach Charbonnet,97630,HB,SEA,16,108,17,5,22.1,102,1,462,2,5,17,320,46.2,16,32,29,0,32,89.5,69.8,89.9,,61.1,63.2,74.4,27.3,23,2,209,33,276,124,0,0,40,141,1,462,320,2.96,4.3,0.76,70
Joshua Kelley,13750,HB,LAC,17,107,11,3,21.2,86,0,405,2,0,11,305,27.3,10,21,27,1,46,67.4,52,88.3,,42.4,36.4,60.5,58.3,49,0,32,8,173,128,0,0,11,115,2,405,305,2.85,3.8,0.18,58
Jamaal Williams,11889,HB,NO,13,106,13,1,5.6,17,0,306,0,0,13,239,23.6,5,18,20,1,50,68.2,59.4,84.6,,38,61.5,60.3,72.9,17,0,62,18,120,145,0,0,19,124,1,306,239,2.25,2.9,0.52,55
Zamir White,83665,HB,LV,15,104,15,5,25.3,114,0,451,0,3,15,334,48.6,8,19,23,1,46,67,71.7,81.5,,46.4,69.7,70.6,59.8,43,0,98,15,90,118,0,0,17,119,1,451,334,3.21,4.3,1.09,48
De'Von Achane,124305,HB,MIA,11,102,29,13,54,434,0,804,0,10,29,522,153.5,22,30,17,1,37,69.5,92.4,86.3,60,65.7,77.1,93.5,77,76,0,193,28,172,119,0,0,37,130,8,804,522,5.12,7.9,1.12,56
Ty Chandler,62942,HB,MIN,14,102,14,5,25.8,119,0,461,0,5,14,292,44.2,9,20,18,0,48,89,76.3,85.2,,49.3,72.9,77.2,59.5,31,0,159,21,122,115,0,0,24,123,3,461,292,2.86,4.5,1.3,49
Tyjae Spears,97195,HB,TEN,17,100,26,7,30.2,137,0,453,2,27,26,316,110.2,13,23,31,1,42,74.8,77,61.6,,79.6,74.6,77.8,48.1,23,1,385,52,303,150,0,0,67,152,2,453,316,3.16,4.5,1.27,49
Rico Dowdle,40693,HB,DAL,16,89,14,3,16.1,58,0,361,2,7,14,259,57.7,7,17,9,0,31,88.2,65.6,84.6,,36.4,57.7,68.4,60.1,21,0,144,17,107,114,0,0,21,106,2,361,259,2.91,4.1,1.35,50
Justice Hill,45865,HB,BLT,16,84,14,4,26.1,101,0,387,1,7,14,218,48.7,9,18,3,1,35,66.8,70.3,89,,67.3,58.8,74.6,64.8,41,0,206,28,233,115,0,0,37,112,3,387,218,2.6,4.6,0.88,43
Kenneth Gainwell,77737,HB,PHI,16,84,11,4,25.5,93,0,364,1,8,11,247,49,10,19,24,3,34,28.8,55.5,91.2,69.7,45,57.6,54.7,56.9,32,0,183,30,225,143,0,0,36,114,2,364,247,2.94,4.3,0.81,48
Taysom Hill,12112,TE,NO,16,81,13,4,21.7,87,0,373,1,5,11,212,39.2,12,26,20,1,50,67.7,75.3,89.3,51.6,60.1,66.4,86.1,57.3,27,0,291,33,224,169,28,3,39,111,4,401,235,2.9,5,1.3,11
Roschon Johnson,99467,HB,CHI,15,81,12,2,14.5,51,1,352,2,10,12,188,44.4,8,16,6,1,26,66.1,65.6,88.6,,64.8,60.7,66.5,62.9,29,1,209,34,190,124,0,0,42,115,2,352,188,2.32,4.3,1.1,54
Russell Wilson,7077,QB,DEN,15,80,6,1,5.6,19,0,76,0,0,0,24,0,13,38,10,10,0,28.9,77.5,89.5,72.5,,,80.3,60,21,2,0,0,0,370,265,36,0,44,3,341,122,1.53,4.3,,8
Latavius Murray,7962,HB,BUF,16,79,7,2,16.7,50,0,300,3,2,7,177,21,6,27,4,1,53,56.8,64.9,42.8,,59.6,50.5,74.2,57.5,29,1,119,17,183,110,0,0,22,96,4,300,177,2.24,3.8,0.65,26
Royce Freeman,45747,HB,LA,9,77,18,3,16.6,53,0,319,0,1,18,224,70.9,7,17,26,0,40,85.6,74.3,84.3,,67.6,46.1,78.1,78.9,23,0,13,1,78,88,0,0,1,78,2,319,224,2.91,4.1,0.17,35
Joshua Dobbs,11890,QB,MIN,13,77,24,2,16.4,69,1,133,0,0,10,95,53.9,16,31,18,15,11,49.8,65.9,75.3,59.9,,58.9,82.2,60.6,44,5,0,0,1,327,288,35,0,42,6,421,304,3.95,5.5,0,9
Jaleel McLaughlin,138346,HB,DEN,17,76,20,4,27.6,113,0,410,0,16,20,257,113.8,12,16,10,0,17,87,86.2,83.2,,34.6,85.2,82.8,60,38,0,160,31,98,85,0,0,36,107,1,410,257,3.38,5.4,1.63,54
Patrick Mahomes,11765,QB,KC,16,75,10,0,0,0,1,-24,0,0,0,1,0,15,26,16,5,1,74.9,85.1,79.1,81.1,60.9,59.9,79.9,60.7,25,5,0,0,1,330,413,51,0,24,0,389,114,1.52,5.2,0,1
Elijah Mitchell,57272,HB,SF,11,75,18,2,11.7,33,0,281,1,0,18,225,66.7,7,14,28,0,21,85.7,70.1,82.7,,43.5,52.4,71.7,70.9,18,0,14,6,52,99,0,0,8,81,2,281,225,3,3.7,0.27,52
Trevor Lawrence,77632,QB,JAX,16,70,11,0,0,0,0,11,0,0,0,16,0,13,23,15,13,2,36.5,79.7,25.6,78.6,60.9,60,69.9,61.1,26,8,0,0,1,363,328,41,0,29,4,339,213,3.04,4.8,0,5
Clyde Edwards-Helaire,57279,HB,KC,15,70,11,2,16.1,36,0,223,1,7,11,161,47.6,4,12,16,0,19,86,66.1,86.7,,56.5,66.8,65.2,60,20,0,188,17,128,76,0,0,22,87,1,223,161,2.3,3.2,1.47,49
Dalvin Cook,11796,HB,NYJ,15,67,12,0,0,0,0,214,0,2,12,148,37.7,4,10,22,2,28,30,54.3,85.1,,61,62.4,51.5,60,14,0,78,15,89,75,0,0,20,82,0,214,148,2.21,3.2,0.88,35
Antonio Gibson,78050,HB,WAS,16,65,16,1,6,16,0,265,4,12,16,228,86.9,5,13,32,4,19,25.8,66.6,53,,71.9,64.5,68.4,59.7,16,1,389,48,318,69,0,0,57,113,1,265,228,3.51,4.1,1.22,45
Pierre Strong Jr.,66619,HB,CLV,15,63,9,3,25.8,75,0,291,1,2,9,215,55.2,7,10,8,2,35,57.5,60.6,84.9,,62.4,49.1,63.3,60.2,40,0,47,5,73,75,0,0,8,68,1,291,215,3.41,4.6,0.64,24
Baker Mayfield,46518,QB,TB,17,62,10,0,0,0,1,-8,0,0,0,13,0,4,16,30,9,2,73.9,74.6,79.8,72.8,,57.6,66,60,31,3,0,0,1,414,171,29,0,33,1,163,161,2.6,2.6,0,5
Cam Akers,57206,HB,MIN,7,60,9,1,11.4,19,0,167,0,2,9,141,36.4,4,12,18,0,33,84.8,69.7,79.9,60,71.2,76.4,66,71.2,19,0,70,11,46,67,0,0,12,71,2,167,141,2.35,2.8,1.52,25
Emari Demercado,77763,HB,ARZ,14,58,11,2,23.6,67,0,284,2,3,11,205,62.6,5,12,1,0,26,84.9,73.4,86.8,,74.7,44.7,89.9,40.7,49,0,119,21,164,74,0,0,29,79,2,284,205,3.53,4.9,0.73,31
Dak Prescott,10769,QB,DAL,17,56,6,1,7.4,18,0,54,0,0,0,17,0,9,21,9,4,3,81.8,90.8,48.8,89.8,,,75.8,60.3,22,5,0,0,0,405,188,28,0,28,2,242,122,2.18,4.3,,3
Matt Breida,12271,HB,NYG,17,55,7,0,0,0,0,151,2,3,7,121,30.6,0,7,21,1,22,54.1,52.4,88,,63.3,37,60.3,56.5,9,0,88,17,156,86,0,0,20,72,1,151,121,2.2,2.7,0.56,31
Desmond Ridder,55086,QB,ATL,15,53,2,1,11.9,23,0,64,0,0,1,23,1.9,6,18,2,12,12,27.6,51.9,50.1,53.2,61.3,57.6,48.8,60.3,23,5,-6,1,1,382,129,19,1,35,5,193,51,0.96,3.6,-6,7
Samaje Perine,11869,HB,DEN,17,53,6,2,16.4,39,0,238,1,19,6,155,71,6,14,10,3,27,61.8,71.3,87.3,,31.1,81,72.5,59.3,24,0,455,50,218,73,0,0,53,103,1,238,155,2.92,4.5,2.09,24
Justin Herbert,28237,QB,LAC,13,52,9,0,0,0,1,-16,0,1,0,0,0,9,16,27,4,0,66.7,85.5,62.4,83.1,,55.2,73.2,60.3,35,5,10,1,2,280,244,32,1,21,3,228,149,2.87,4.4,5,1
Chris Rodriguez Jr.,83689,HB,WAS,10,51,12,3,19,47,0,247,0,0,12,186,82.6,9,14,32,1,19,45.7,75.9,81.7,,82.7,52.4,77.1,46,16,0,12,2,29,60,0,0,2,53,2,247,186,3.65,4.8,0.41,31
Jordan Love,40306,QB,GB,17,51,4,1,15.9,37,0,33,0,0,0,10,0,8,16,12,10,0,53.5,83,47.4,82.7,62.2,60,59.7,60,37,11,0,0,0,418,200,22,0,29,4,233,105,2.06,4.6,,3
Cordarrelle Patterson,7810,HB,ATL,14,50,11,1,10,18,0,180,1,0,11,165,61.5,5,9,2,1,22,53.3,62.7,85.1,,78.3,56.3,66.3,58.1,18,0,38,9,85,85,0,0,11,59,0,180,165,3.3,3.6,0.45,26
Tank Bigsby,123974,HB,JAX,16,50,10,0,0,0,1,132,3,1,10,117,50.5,1,12,15,2,25,26.9,52.3,83.3,,32.1,24.7,69,67.2,12,1,6,1,39,80,0,0,4,51,2,132,117,2.34,2.6,0.15,22
Chase Edmonds,45851,HB,TB,13,49,8,2,20.5,36,0,176,1,0,8,124,32.1,5,8,30,0,24,83.7,60.4,81.9,,83.5,58.6,59.8,59.9,21,0,81,14,82,61,0,0,16,63,0,176,124,2.53,3.6,0.99,25
Sam Howell,97599,QB,WAS,17,48,21,1,5.7,15,0,18,0,0,0,19,0,11,19,32,4,3,81.3,60.2,79.2,57.6,,62,71.5,60.1,24,3,4,1,1,310,246,33,1,16,5,264,213,4.44,5.5,4,3
Keaton Mitchell,123826,HB,BLT,7,47,15,7,60.6,240,0,396,0,0,15,267,152.2,12,19,3,0,15,83,92.4,84.1,,35.9,82.1,92.5,65.7,60,0,93,9,51,68,0,0,10,56,2,396,267,5.68,8.4,1.82,28
Darrell Henderson,41193,HB,LA,4,46,1,1,14.3,16,0,112,1,2,1,98,11.4,1,5,26,0,26,82.9,55.2,81.1,,69,58.4,53.4,60,16,0,103,10,52,48,0,0,14,56,2,112,98,2.13,2.4,1.98,20
Chase Brown,77787,HB,CIN,11,44,8,4,49.7,89,0,179,1,7,8,144,84.6,5,6,7,1,20,48,63.9,81.4,,26.7,81.1,59,58.7,31,1,156,14,35,49,0,0,15,58,0,179,144,3.27,4.1,4.46,23
Kyler Murray,38334,QB,ARZ,8,44,8,2,12.3,30,1,83,0,0,3,27,10.3,9,15,1,7,9,59.7,70.8,9.4,67.6,,,77.8,60.2,33,5,0,0,0,212,161,16,0,28,3,244,71,1.61,5.5,,13
Kenny Pickett,60515,QB,PIT,12,42,1,0,0,0,0,-17,0,0,0,9,0,3,11,25,2,0,91.3,70.6,71.8,68.8,,,66.7,60,11,2,0,0,0,282,71,14,0,28,1,54,54,1.29,1.3,,2
Craig Reynolds,94383,HB,DET,16,41,6,2,20.1,36,0,179,0,3,6,119,56.8,6,11,11,1,10,45.3,77.4,81.3,,26.5,72.4,79.4,50.7,19,0,47,5,60,65,0,0,6,46,1,179,119,2.9,4.4,0.78,31
D'Ernest Johnson,45734,HB,JAX,17,41,5,1,17.6,19,0,108,0,5,5,86,41.1,1,5,15,0,14,83.6,57.5,85.1,,43.7,65.7,55.3,52.5,19,0,140,10,108,52,0,0,11,51,0,108,86,2.1,2.6,1.3,26
Jeff Wilson Jr.,29413,HB,MIA,10,41,4,1,8,15,0,188,1,0,4,120,21.3,5,8,17,0,17,82.5,59.4,83.4,,13.8,50,67.9,47,15,0,85,14,87,53,0,0,17,55,0,188,120,2.93,4.6,0.98,24
Kendre Miller,123091,HB,NO,8,41,10,1,11.5,18,0,156,1,1,10,128,67.3,4,10,20,0,13,82.5,74.1,79.5,,27.4,72.7,74.1,60.2,18,0,117,10,54,52,0,0,11,51,1,156,128,3.12,3.8,2.17,26
C.J. Stroud,129759,QB,HST,15,39,3,0,0,0,0,10,0,0,0,5,0,8,18,13,9,0,47.4,83,78,79.6,61.3,58.9,76.3,60.2,16,2,0,1,1,374,147,23,1,17,3,167,47,1.21,4.3,0,0
Jordan Mason,62946,HB,SF,11,40,8,3,28.6,59,0,206,0,1,8,124,64.9,4,13,28,0,9,82.1,84.7,79,,23.8,62,85.4,62,26,0,31,3,35,62,0,0,4,43,3,206,124,3.1,5.2,0.89,30
Daniel Jones,39395,QB,NYG,6,40,1,0,0,0,0,47,0,0,0,28,0,8,15,21,4,5,45.3,63,85.2,54.4,,58.9,82.2,60,17,0,0,0,1,105,159,19,0,21,1,206,65,1.63,5.2,0,7
Brock Purdy,77672,QB,SF,16,39,4,0,0,0,0,6,0,0,0,4,0,6,15,28,6,0,62.9,88.4,53.3,83.6,,58.9,90.6,60,17,5,0,0,1,410,138,17,0,22,2,144,86,2.21,3.7,0,0
Bryce Young,123943,QB,CAR,16,39,15,0,0,0,1,-6,0,0,0,0,0,9,18,5,11,1,27.7,56.4,57.9,53,,,78.1,60,26,6,0,0,0,404,259,31,0,8,0,253,156,4,6.5,,0
Tyrod Taylor,6332,QB,NYG,11,38,6,2,18.8,37,0,54,0,0,1,28,19.4,5,10,21,4,1,44.1,71.4,85.8,73.4,,,54.5,60.5,31,0,0,0,0,131,143,26,0,12,0,197,102,2.68,5.2,,1
Deebo Samuel,48274,WR,SF,15,37,19,4,32,72,0,225,3,25,19,123,150.8,11,13,28,1,5,60.3,83,89.7,60,80,84.2,69.5,60.3,23,2,892,60,385,296,0,0,87,97,5,225,123,3.32,6.1,2.32,15
Geno Smith,7820,QB,SEA,15,37,4,0,0,0,0,-1,0,0,0,7,0,6,10,29,5,1,68.8,82.9,51.5,82.1,,58.9,62.8,60.5,25,6,-2,1,1,308,156,20,1,18,1,155,46,1.24,4.2,-2,0
Isaiah Spiller,99146,HB,LAC,9,37,6,0,0,0,0,96,0,2,6,82,41.2,0,1,27,0,17,81.3,58.8,0,,29,61,63.4,60,8,1,34,6,49,41,0,0,6,43,0,96,82,2.22,2.6,0.69,18
Zach Wilson,82096,QB,NYJ,12,36,4,0,0,0,0,-3,0,0,0,5,0,8,7,22,11,1,30.8,58.2,72.6,57.2,,58.4,60.9,60.2,20,2,0,0,1,224,214,25,0,11,0,211,68,1.89,5.9,0,0
Tommy DeVito,60545,QB,NYG,9,36,6,1,13.3,26,0,72,0,0,2,29,29.6,6,7,21,2,1,77.3,62,61.5,64.4,,60,50.9,60.7,26,3,0,0,0,161,123,22,0,14,1,195,97,2.69,5.4,,6
Tua Tagovailoa,60326,QB,MIA,17,35,2,0,0,0,0,-13,0,0,0,0,0,0,5,17,14,1,53.5,88.4,68.2,90.2,,57.7,28.5,60,9,5,0,0,2,407,87,16,0,19,0,74,21,0.6,2.1,0,2
Trey Sermon,57372,HB,IND,12,35,5,2,28.8,46,0,160,3,0,5,99,37.2,3,7,14,0,12,80.9,56.6,81.5,,69.4,27.7,67.4,60,27,0,13,3,43,43,0,0,6,38,0,160,99,2.83,4.6,0.3,23
Keaontay Ingram,77761,HB,KC,7,35,7,0,0,0,0,74,0,1,7,75,44,4,4,16,0,14,81.1,64.7,82.6,,60.8,55,66.1,66.4,14,0,26,4,51,46,0,0,4,39,0,74,75,2.14,2.1,0.51,21
Gardner Minshew,41401,QB,IND,16,34,2,0,0,0,0,-13,0,0,0,1,0,2,7,14,8,0,42.5,62,89.7,60.6,,,59.6,60.3,23,4,0,0,0,392,113,21,0,13,3,100,25,0.74,2.9,,0
